source_type,source_id,edge_type,target_type,target_id,weight
User,2,VIEWED,Product,17,3.0
User,3,VIEWED,Product,8,10.0
User,5,VIEWED,Product,19,1.0
User,1,VIEWED,Product,10,5.0
User,4,VIEWED,Product,25,5.0
User,2,VIEWED,Product,18,3.0
User,3,VIEWED,Product,13,6.0
User,4,VIEWED,Product,26,11.0
User,4,VIEWED,Product,13,2.0
User,2,VIEWED,Product,6,5.0
User,4,VIEWED,Product,15,3.0
User,5,VIEWED,Product,23,3.0
User,4,VIEWED,Product,27,9.0
User,4,VIEWED,Product,5,7.0
User,5,VIEWED,Product,17,4.0
User,3,VIEWED,Product,6,2.0
User,1,VIEWED,Product,3,4.0
User,1,VIEWED,Product,5,4.0
User,1,VIEWED,Product,4,4.0
User,3,VIEWED,Product,14,1.0
User,3,VIEWED,Product,4,2.0
User,4,VIEWED,Product,4,2.0
User,5,VIEWED,Product,21,1.0
User,1,VIEWED,Product,9,2.0
Product,1,SIMILAR,Product,3,1.0
Product,1,SIMILAR,Product,4,1.0
Product,1,SIMILAR,Product,5,1.0
Product,1,SIMILAR,Product,9,1.0
Product,1,SIMILAR,Product,15,1.0
Product,3,SIMILAR,Product,1,1.0
Product,3,SIMILAR,Product,4,1.0
Product,3,SIMILAR,Product,5,1.0
Product,3,SIMILAR,Product,9,1.0
Product,3,SIMILAR,Product,15,1.0
Product,4,SIMILAR,Product,1,1.0
Product,4,SIMILAR,Product,3,1.0
Product,4,SIMILAR,Product,5,1.0
Product,4,SIMILAR,Product,9,1.0
Product,4,SIMILAR,Product,15,1.0
Product,5,SIMILAR,Product,1,1.0
Product,5,SIMILAR,Product,3,1.0
Product,5,SIMILAR,Product,4,1.0
Product,5,SIMILAR,Product,9,1.0
Product,5,SIMILAR,Product,15,1.0
Product,9,SIMILAR,Product,1,1.0
Product,9,SIMILAR,Product,3,1.0
Product,9,SIMILAR,Product,4,1.0
Product,9,SIMILAR,Product,5,1.0
Product,9,SIMILAR,Product,15,1.0
Product,15,SIMILAR,Product,1,1.0
Product,15,SIMILAR,Product,3,1.0
Product,15,SIMILAR,Product,4,1.0
Product,15,SIMILAR,Product,5,1.0
Product,15,SIMILAR,Product,9,1.0
Product,1,SIMILAR,Product,2,0.3
Product,2,SIMILAR,Product,3,0.3
Product,4,SIMILAR,Product,13,0.3
Product,5,SIMILAR,Product,13,0.3
Product,6,SIMILAR,Product,7,0.3
Product,6,SIMILAR,Product,12,0.3
Product,6,SIMILAR,Product,14,0.3
Product,7,SIMILAR,Product,12,0.3
Product,7,SIMILAR,Product,14,0.3
Product,12,SIMILAR,Product,14,0.3
Product,8,SIMILAR,Product,9,0.3
Product,10,SIMILAR,Product,11,0.3
Product,10,SIMILAR,Product,15,0.3
Product,11,SIMILAR,Product,15,0.3
Product,16,SIMILAR,Product,17,0.3
Product,16,SIMILAR,Product,18,0.3
Product,17,SIMILAR,Product,18,0.3
Product,19,SIMILAR,Product,20,0.3
Product,19,SIMILAR,Product,21,0.3
Product,20,SIMILAR,Product,21,0.3
Product,22,SIMILAR,Product,23,0.3
Product,22,SIMILAR,Product,24,0.3
Product,23,SIMILAR,Product,24,0.3
Product,25,SIMILAR,Product,26,0.3
Product,25,SIMILAR,Product,27,0.3
Product,26,SIMILAR,Product,27,0.3
